Model,C_index
TLS,0.524800
TLS,0.519959
TLS,0.523829
TLS,0.526892
TLS,0.531154
TLS,0.526237
TLS,0.524727
TLS,0.531871
TLS,0.529100
TLS,0.525853
TLS,0.525090
TLS,0.524625
TLS,0.530202
TLS,0.527261
TLS,0.524910
TLS,0.527272
TLS,0.524903
TLS,0.530363
TLS,0.526557
TLS,0.526781
CAF,0.526829
CAF,0.526981
CAF,0.528060
CAF,0.526595
CAF,0.532844
CAF,0.531697
CAF,0.528480
CAF,0.528938
CAF,0.530866
CAF,0.528847
CAF,0.520109
CAF,0.524345
CAF,0.527426
CAF,0.530236
CAF,0.527103
CAF,0.528066
CAF,0.535316
CAF,0.524664
CAF,0.525410
CAF,0.523374
CAF + TLS,0.528533
CAF + TLS,0.530092
CAF + TLS,0.526607
CAF + TLS,0.529067
CAF + TLS,0.526594
CAF + TLS,0.523879
CAF + TLS,0.531909
CAF + TLS,0.531183
CAF + TLS,0.530470
CAF + TLS,0.528787
CAF + TLS,0.530135
CAF + TLS,0.532083
CAF + TLS,0.532336
CAF + TLS,0.529890
CAF + TLS,0.531072
CAF + TLS,0.528275
CAF + TLS,0.521327
CAF + TLS,0.529308
CAF + TLS,0.526084
CAF + TLS,0.532513
